date,BTC,ETH,SOL,BNB,XRP,ADA
2023-01-01,0.00059,-0.00097,0.00664,0.00121,0.00361,0.00019
2023-01-02,0.00195,0.00751,0.00299,0.00256,0.00236,0.00705
2023-01-03,-0.01035,0.00644,0.01410,-0.00187,0.01038,0.01273
2023-01-04,0.00379,0.00044,0.00330,0.00650,-0.00302,0.00435
2023-01-05,-0.00121,0.01049,0.00132,0.00002,0.01122,0.00860
2023-01-06,-0.01182,-0.00349,-0.00116,0.00259,0.00062,0.00365
2023-01-07,0.00457,0.00825,0.00235,-0.00466,-0.01040,-0.00174
2023-01-08,0.00718,-0.00348,0.00294,0.00262,-0.00240,0.00605
2023-01-09,0.01259,-0.01105,-0.00917,0.01106,0.00778,0.01525
2023-01-10,0.00742,0.00399,0.00251,0.00156,0.00487,0.00878
2023-01-11,-0.00410,-0.00195,-0.00095,0.00239,0.00934,0.00420
2023-01-12,0.01136,0.00519,0.00120,-0.00421,-0.00147,0.00305
2023-01-13,-0.00070,0.00422,0.00134,0.00644,0.01878,-0.00155
2023-01-14,0.00431,0.00479,-0.00780,-0.00008,0.01167,-0.00191
2023-01-15,0.00020,0.00369,-0.00479,0.01279,0.00795,0.00362
2023-01-16,-0.00580,-0.00034,-0.00655,0.00050,0.00490,0.00469
2023-01-17,-0.00033,-0.00928,-0.00984,0.00618,0.01216,-0.00814
2023-01-18,0.00269,0.00644,-0.01018,0.00830,0.00533,0.00694
2023-01-19,-0.00493,-0.00141,-0.00364,0.01157,-0.00385,-0.00082
2023-01-20,-0.00196,-0.00089,-0.01142,-0.00574,0.00790,0.00624
2023-01-21,0.00809,0.00776,-0.00863,0.00531,0.00195,-0.00152
2023-01-22,-0.00459,0.00522,-0.00629,0.01103,0.00046,0.00897
2023-01-23,-0.00321,0.00523,-0.00545,-0.00424,0.00460,0.00613
2023-01-24,-0.00772,0.00145,0.00214,-0.00501,-0.00233,0.00399
2023-01-25,-0.00279,-0.00049,-0.00007,-0.00668,0.00620,0.00415
2023-01-26,-0.00162,-0.00802,-0.00513,0.01393,0.01126,-0.00693
2023-01-27,0.00419,0.01694,0.00973,-0.00588,0.01353,0.00566
2023-01-28,0.00743,0.00960,-0.00559,-0.00549,0.00845,0.00980
2023-01-29,-0.00613,-0.00156,0.00682,0.00395,-0.00274,-0.00017
2023-01-30,-0.00637,0.00102,0.01218,-0.00533,-0.00211,-0.00174
2023-01-31,-0.01398,0.00629,0.01280,0.00287,0.00489,0.00259
2023-02-01,-0.00028,-0.00191,0.00412,0.00892,-0.01084,0.00364
2023-02-02,0.00390,0.00543,-0.00087,0.00668,0.00877,-0.00856
2023-02-03,0.00482,0.00636,0.00651,0.00871,0.00700,0.00182
2023-02-04,-0.00511,-0.00057,0.00193,0.00357,0.00606,-0.00559
2023-02-05,-0.00305,0.00452,0.01141,0.00222,0.01440,-0.00121
2023-02-06,0.00029,0.00292,-0.00522,-0.00157,-0.00529,0.00002
2023-02-07,-0.00094,0.00778,-0.00209,0.01126,0.00369,-0.00885
2023-02-08,-0.00351,-0.00050,0.00473,0.00309,0.00192,0.00398
2023-02-09,-0.00982,0.00243,0.00198,0.00041,-0.00500,-0.00296
2023-02-10,0.00794,0.00977,-0.00343,0.00645,0.00118,-0.00627
2023-02-11,-0.00018,0.01321,-0.00026,-0.00083,0.00296,-0.00021
2023-02-12,0.00727,0.01819,-0.00172,0.00795,0.00910,0.00055
